collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2025-03-22T05:02:50Z,movie,Atlas Shrugged: Part III,2014,5.33557,124787,tt2800038,199933,https://trakt.tv/movies/atlas-shrugged-part-iii-2014,2014-09-12,99,"drama,mystery,science-fiction"
2020-04-25T23:59:02Z,movie,Atomic Blonde,2017,7.09398,224157,tt2406566,341013,https://trakt.tv/movies/atomic-blonde-2017,2017-07-28,115,"thriller,action,adventure"
2023-05-15T14:46:52Z,movie,Austin Powers in Goldmember,2002,6.61118,661,tt0295178,818,https://trakt.tv/movies/austin-powers-in-goldmember-2002,2002-07-26,94,"comedy,crime,science-fiction"
2023-05-15T14:47:05Z,movie,Austin Powers: International Man of Mystery,1997,7.17203,659,tt0118655,816,https://trakt.tv/movies/austin-powers-international-man-of-mystery-1997,1997-05-02,89,"comedy,crime,science-fiction"
2023-05-15T14:47:14Z,movie,Austin Powers: The Spy Who Shagged Me,1999,6.99301,660,tt0145660,817,https://trakt.tv/movies/austin-powers-the-spy-who-shagged-me-1999,1999-06-08,95,"adventure,comedy,crime,science-fiction"
2022-07-03T06:59:06Z,movie,Ava,2020,6.21348,391004,tt8784956,539885,https://trakt.tv/movies/ava-2020,2020-09-25,96,"action,thriller,crime"
2020-06-15T22:18:31Z,movie,Avatar,2009,7.80532,12269,tt0499549,19995,https://trakt.tv/movies/avatar-2009,2009-12-18,162,"action,adventure,fantasy,science-fiction"
2023-01-10T11:31:48Z,movie,Avatar: The Way of Water,2022,7.543,56580,tt1630029,76600,https://trakt.tv/movies/avatar-the-way-of-water-2022,2022-12-16,192,"action,adventure,science-fiction,fantasy"
2022-06-01T12:59:27Z,movie,Avengers Grimm,2015,4.67847,204283,tt4296026,323660,https://trakt.tv/movies/avengers-grimm-2015,2015-03-17,90,"action,fantasy"
2022-06-01T12:28:30Z,movie,Avengers Grimm: Time Wars,2018,4.19266,369883,tt8159584,521720,https://trakt.tv/movies/avengers-grimm-time-wars-2018,2018-05-01,88,"action,adventure,fantasy"
2020-06-15T22:23:09Z,movie,Avengers: Age of Ultron,2015,7.48174,71938,tt2395427,99861,https://trakt.tv/movies/avengers-age-of-ultron-2015,2015-05-01,141,"action,adventure,science-fiction,superhero"
2023-05-08T02:00:14Z,movie,Avengers: Endgame,2019,8.4119,191798,tt4154796,299534,https://trakt.tv/movies/avengers-endgame-2019,2019-04-26,181,"action,adventure,science-fiction,superhero"
2020-06-15T22:22:10Z,movie,Avengers: Infinity War,2018,8.44393,191797,tt4154756,299536,https://trakt.tv/movies/avengers-infinity-war-2018,2018-04-27,149,"action,adventure,superhero,science-fiction"
2023-08-28T21:35:08Z,movie,Awake,2019,6.03661,460949,tt7584702,618019,https://trakt.tv/movies/awake-2019,2019-08-16,92,"thriller,action"
2023-08-10T18:23:53Z,movie,Baby Driver,2017,7.64681,219867,tt3890160,339403,https://trakt.tv/movies/baby-driver-2017,2017-06-28,113,"action,crime,romance"
2023-05-15T00:34:09Z,movie,Babylon,2022,7.00558,459051,tt10640346,615777,https://trakt.tv/movies/babylon-2022,2022-12-23,189,"drama,comedy"
2023-05-15T00:34:07Z,movie,Babylon A.D.,2008,5.99863,4670,tt0364970,9381,https://trakt.tv/movies/babylon-a-d-2008,2008-08-29,101,"action,adventure,science-fiction,thriller"
2023-05-11T01:20:34Z,movie,Bachelor Party,1984,6.60524,7182,tt0086927,12309,https://trakt.tv/movies/bachelor-party-1984,1984-06-29,105,comedy
2023-06-29T11:48:33Z,movie,Bachelor Party 2: The Last Temptation,2008,5.4403,8733,tt0954541,14503,https://trakt.tv/movies/bachelor-party-2-the-last-temptation-2008,2008-03-11,104,comedy
2025-01-17T16:24:33Z,movie,Back in Action,2025,6.6934,798786,tt21191806,993710,https://trakt.tv/movies/back-in-action-2025,2025-01-17,114,"action,comedy"
2023-05-11T00:58:08Z,movie,Back to School,1986,6.94932,9498,tt0090685,15596,https://trakt.tv/movies/back-to-school-1986,1986-06-13,96,comedy
2023-05-05T15:23:46Z,movie,Back to the Future,1985,8.56715,74,tt0088763,105,https://trakt.tv/movies/back-to-the-future-1985,1985-07-03,116,"adventure,comedy,science-fiction"
2023-05-05T15:23:58Z,movie,Back to the Future Part II,1989,8.13928,130,tt0096874,165,https://trakt.tv/movies/back-to-the-future-part-ii-1989,1989-11-22,108,"adventure,comedy,science-fiction"
2023-05-05T15:23:50Z,movie,Back to the Future Part III,1990,7.81113,159,tt0099088,196,https://trakt.tv/movies/back-to-the-future-part-iii-1990,1990-05-25,119,"adventure,comedy,science-fiction"
2023-08-15T23:13:32Z,movie,Backdraft,1991,7.08518,1940,tt0101393,2924,https://trakt.tv/movies/backdraft-1991,1991-05-24,137,"crime,drama,thriller,action"
2024-04-17T19:11:11Z,movie,Backdraft 2,2019,5.95816,435025,tt8172466,587808,https://trakt.tv/movies/backdraft-2-2019,2019-05-14,102,"action,crime,drama"
2022-06-01T13:49:19Z,movie,Backstabbing for Beginners,2018,6.88889,324039,tt5153288,476678,https://trakt.tv/movies/backstabbing-for-beginners-2018,2018-04-27,108,"thriller,drama,history"
2023-05-08T03:10:10Z,movie,Bad Boys,1995,7.2679,5003,tt0112442,9737,https://trakt.tv/movies/bad-boys-1995,1995-04-07,119,"action,comedy,crime,thriller"
